SL,Heat,Virus,Random
4780,49.65586234,2,0.015028251
4856,49.43297319,0,0.015046179
8168,49.48019208,1,0.015091936
5545,49.78231293,1,0.015168665
7868,49.53941577,1,0.015198743
3887,49.54781913,2,0.015252128
3222,49.60864346,1,0.015385942
5750,49.4689876,2,0.01538749
569,49.46738695,0,0.015438634
703,49.43017207,0,0.01546167
2877,49.4689876,0,0.015478511
824,49.43937575,0,0.015481512
886,49.23329332,2,0.015532357
8310,49.73589436,2,0.015533986
4124,49.3597439,0,0.015581218
1868,49.56742697,2,0.015650787
6698,49.49779912,2,0.01565892
9465,49.40296118,2,0.015684347
3965,49.52380952,1,0.01569752
9731,49.43617447,2,0.015748296
3088,49.64065626,2,0.015827354
6086,49.67266907,1,0.015848976
5829,49.76590636,1,0.015868555
7478,49.55742297,1,0.015879798
899,49.57623049,0,0.016075907
8315,49.63145258,2,0.016139002
8318,49.63265306,1,0.016231667
1604,49.44857943,2,0.016232203
3460,49.49379752,0,0.016298271
902,49.66106443,0,0.016313441
3294,49.78071228,0,0.016363183
6763,49.54821929,2,0.016404249
6274,49.51220488,0,0.016427907
9388,49.72068828,2,0.016435286
8483,49.83913565,1,0.016453513
6310,49.50020008,1,0.016465429
9981,49.41656663,0,0.016522277
9658,49.47739096,0,0.016530956
7171,49.45858343,0,0.016552258
9895,49.69547819,2,0.016556161
7857,49.71108443,0,0.016568451
4279,49.57302921,1,0.016585765
2138,49.78951581,0,0.016587369
3192,49.68347339,1,0.016602578
6766,49.60904362,2,0.01662856
5626,49.65266106,2,0.016638123
9840,49.54261705,1,0.016643802
7299,49.70548219,2,0.016694846
3919,49.69987995,0,0.016723848
1757,49.60064026,2,0.016777686
778,49.48339336,0,0.016779088
9183,49.58743497,2,0.016790131
1260,49.67667067,2,0.016830183
2662,49.67426971,2,0.01685417
5013,49.48219288,2,0.016872935
1551,49.75990396,0,0.016940127
7429,49.58663465,1,0.01699305
2737,49.34013605,2,0.017046435
649,49.33253301,1,0.017062863
458,49.42697079,2,0.017108
2900,48.43897559,0,0.017143483
4191,49.79431773,0,0.017144515
3821,49.55902361,1,0.017200381
997,49.80032013,0,0.017246289
8223,49.73389356,0,0.017247924
2374,49.38535414,2,0.017253281
414,49.68267307,0,0.017299502
3135,49.55662265,1,0.017345308
9612,49.42697079,0,0.017361608
100,49.48619448,0,0.017411865
377,49.3637455,2,0.017451024
5851,49.4889956,0,0.017474264
3467,49.33293317,2,0.017481421
3794,49.41096439,1,0.017628295
4918,49.21848739,0,0.017705593
2947,49.57302921,1,0.017717114
7931,49.64665866,2,0.017761603
967,49.60384154,0,0.017768355
1743,49.54301721,1,0.017795103
820,49.94197679,0,0.017866354
6372,49.72869148,2,0.017872406
7867,49.44537815,0,0.01790348
527,49.66306523,0,0.017904015
1697,49.52741096,0,0.017915097
8102,49.54301721,2,0.018057217
8793,49.70868347,1,0.018099785
4473,49.51980792,1,0.018141421
6944,49.57823129,2,0.01815423
9181,49.52020808,0,0.018180036
9945,49.56022409,0,0.018235939
2737,49.64505802,1,0.018263554
6764,49.56702681,0,0.018283601
1390,49.90356142,0,0.018442046
3887,49.50820328,1,0.018500265
3931,49.29811925,2,0.018556802
8699,49.66946779,0,0.018559492
5399,49.58663465,1,0.018567308
5187,49.43177271,1,0.018573834
1559,49.67026811,1,0.018586646
7692,49.67186875,0,0.018605845
7335,49.67066827,1,0.018606592
4278,49.73069228,1,0.018606809
2859,49.55062025,0,0.018615652
4845,49.48859544,2,0.018623618
1503,49.60144058,2,0.018637598
7988,49.50020008,2,0.018798789
8705,49.42376951,0,0.018806247
1838,49.37615046,1,0.0188064
8460,49.50380152,2,0.018818569
1232,49.94357743,2,0.018903142
4105,49.77831132,2,0.01890436
4370,49.58423369,2,0.018964135
4475,49.69787915,1,0.019005156
2678,49.43337335,0,0.019092508
5514,49.6442577,2,0.019102907
2457,49.49019608,0,0.019124032
1847,49.50340136,0,0.01921908
8895,49.74269708,1,0.019246995
6784,49.58143257,0,0.0192601
5504,49.5010004,2,0.019266762
4857,49.79031613,0,0.019287385
1718,49.49779912,1,0.019352213
3467,49.7795118,0,0.019374483
2007,49.3497399,1,0.019411455
2611,49.59063625,1,0.019462909
4012,49.64665866,0,0.019507013
5764,49.36814726,2,0.019516598
439,49.47058824,1,0.019525145
3923,49.28331333,1,0.019590264
9144,49.31532613,1,0.019615346
5211,50.26210484,2,0.019650732
5089,49.41816727,0,0.019657655
5082,49.53381353,0,0.019661195
4050,49.57543017,1,0.019704625
7621,49.68147259,0,0.019752632
5256,49.24129652,2,0.019774299
6932,49.6042417,1,0.019794424
3575,49.60704282,2,0.019812636
2778,49.32132853,2,0.019891889
7903,49.49579832,0,0.020042295
3908,49.63385354,1,0.020109151
6323,49.40656263,1,0.020154491
9234,49.50740296,2,0.020195635
7803,49.53141257,1,0.02023028
7655,49.55422169,0,0.020254799
6177,48.87114846,2,0.020313407
8790,49.41376551,0,0.020317116
1531,49.68267307,2,0.02032436
2197,49.73109244,0,0.020328142
1480,49.64345738,2,0.020363442
2369,49.66986795,1,0.020364982
1315,49.46498599,1,0.020373182
1027,49.68747499,2,0.020377059
9445,49.69427771,0,0.020395678
3828,49.70948379,1,0.020397783
2282,49.51580632,0,0.020400838
2353,49.17206883,0,0.020427655
4354,49.59383754,2,0.020446361
8017,49.76230492,2,0.020477717
9152,49.26970788,2,0.020480473
1182,49.33453381,0,0.020511779
6469,49.53141257,1,0.020517408
9743,49.85554222,0,0.020591709
7804,49.90196078,1,0.02061798
3835,49.72028812,1,0.020633499
9127,49.6542617,1,0.020676574
7536,49.48979592,0,0.020677404
4513,49.53821529,0,0.020680701
3763,49.34293717,1,0.020738413
7395,49.58943577,0,0.020749884
8848,49.35214086,0,0.02079031
3651,49.92637055,0,0.020821584
5257,49.49579832,2,0.020824208
181,49.57863145,1,0.020946289
4027,49.61704682,0,0.020969576
1369,49.58143257,1,0.021049082
7318,49.45778311,0,0.021096119
2219,49.46378551,2,0.021137331
5009,49.65506202,1,0.021142884
3288,49.79551821,0,0.021168714
2584,49.43137255,0,0.021265855
5351,49.86754702,2,0.021297482
9696,49.65786315,1,0.021305336
2709,49.58223289,1,0.021327249
4747,49.58343337,2,0.021328078
5122,49.62945178,1,0.021378557
588,49.75510204,1,0.021386852
9205,49.58983593,2,0.021408926
8723,49.67987195,1,0.021498726
1612,49.56862745,2,0.021520065
6412,49.34053621,2,0.021552872
6080,49.49539816,1,0.021626465
8420,49.66346539,2,0.02165569
6578,49.61984794,1,0.021730066
5303,49.67867147,0,0.021806885
6430,49.48739496,0,0.021812925
4209,49.62745098,0,0.021824648
2015,49.50220088,2,0.021843028
3992,49.57783113,2,0.021983311
5204,49.69107643,1,0.022003787
6892,49.42737095,0,0.022010953
2535,49.89635854,2,0.022019115
8878,49.40856343,1,0.022067508
7432,49.67186875,2,0.022098392
5213,49.53501401,2,0.022167192
8572,49.51980792,0,0.022168777
4662,49.65346138,2,0.022179111
2564,49.42136855,2,0.022202556
597,49.42937175,0,0.02222618
397,49.6482593,2,0.022230437
8132,49.66186475,0,0.022265966
7852,49.3877551,0,0.022320554
7365,49.73389356,1,0.022357639
7174,49.32853141,1,0.0223888
4750,49.62344938,0,0.022408238
9137,49.69787915,1,0.022468246
1442,49.51780712,1,0.022477621
1230,49.50820328,2,0.022575076
7314,49.46178471,0,0.022593683
7937,49.44617847,2,0.02266268
6516,49.27010804,1,0.022698821
4915,49.18767507,2,0.022777608
4490,49.68787515,2,0.022787231
7492,49.20488195,0,0.022787821
9199,49.61944778,0,0.022810628
5661,49.51380552,0,0.022815955
5073,49.54421769,0,0.022830764
6855,49.5270108,2,0.022856081
874,49.29971989,0,0.022918589
2477,49.56022409,2,0.022919358
7973,49.61184474,2,0.022936178
6470,49.67507003,2,0.022939253
7479,49.68827531,2,0.023019491
5091,49.55342137,0,0.023120718
4636,49.64105642,0,0.023164623
3274,49.0280112,1,0.023211833
24,49.78231293,0,0.023248219
3205,49.63065226,2,0.023333773
6914,49.61744698,0,0.023336842
